t,curve_x,curve_y,focal_x,focal_y
-3.12874,-0.999917,-0.0231278,2.23945,-2.62503e-06
-3.12871,-0.999917,-0.0231843,2.23944,-2.65377e-06
-3.12868,-0.999917,-0.0232409,2.23944,-2.70847e-06
-3.12865,-0.999916,-0.0232974,2.23944,-2.71176e-06
-3.12862,-0.999916,-0.0233539,2.23943,-2.71506e-06
-3.12859,-0.999915,-0.0234105,2.23943,-2.71841e-06
-3.12856,-0.999915,-0.023467,2.23943,-2.74786e-06
-3.12852,-0.999915,-0.0235236,2.23943,-2.77744e-06
-3.12849,-0.999914,-0.0235801,2.23942,-2.80722e-06
-3.12846,-0.999914,-0.0236367,2.23942,-2.83715e-06
-3.12843,-0.999913,-0.0236932,2.23942,-2.81466e-06
-3.1284,-0.999913,-0.0237498,2.23942,-2.84479e-06
-3.12837,-0.999913,-0.0238063,2.23941,-2.87511e-06
-3.12834,-0.999912,-0.0238628,2.23941,-2.90559e-06
-3.1283,-0.999912,-0.0239194,2.2394,-2.93622e-06
-3.12827,-0.999911,-0.0239759,2.2394,-2.96705e-06
-3.12824,-0.999911,-0.0240325,2.2394,-2.99803e-06
